rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,state,num_epochs,mean_duration,total_duration,percent_of_rem
4,3,CON,3,4,2663,2700,phasic,0,0.0,0.0,0.0
4,3,CON,3,4,2663,2700,tonic,1,37.0,37.0,100.0
4,3,CON,3,5,723,802,phasic,2,1.997000000000014,3.994000000000028,5.055696202531681
4,3,CON,3,5,723,802,tonic,3,25.001999999999992,75.00599999999997,94.94430379746832
4,3,CON,3,5,1078,1086,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,1078,1086,tonic,1,8.0,8.0,100.0
4,3,CON,3,5,1267,1278,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,1267,1278,tonic,1,11.0,11.0,100.0
4,3,CON,3,5,1306,1323,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,1306,1323,tonic,1,17.0,17.0,100.0
4,3,CON,3,5,1387,1524,phasic,2,1.8680000000000518,3.7360000000001037,2.7270072992701486
4,3,CON,3,5,1387,1524,tonic,3,44.4213333333333,133.2639999999999,97.27299270072986
4,3,CON,3,5,1589,1596,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,1589,1596,tonic,1,7.0,7.0,100.0
4,3,CON,3,5,2211,2284,phasic,1,3.6219999999998436,3.6219999999998436,4.961643835616224
4,3,CON,3,5,2211,2284,tonic,2,34.68900000000008,69.37800000000016,95.03835616438377
4,3,CON,3,5,2478,2596,phasic,8,1.6399999999999864,13.11999999999989,11.118644067796518
4,3,CON,3,5,2478,2596,tonic,9,11.653333333333345,104.88000000000011,88.88135593220349
4,3,CON,3,5,3107,3166,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,3107,3166,tonic,1,59.0,59.0,100.0
4,3,CON,3,5,3201,3308,phasic,6,2.6923333333333326,16.153999999999996,15.097196261682239
4,3,CON,3,5,3201,3308,tonic,7,12.978,90.846,84.90280373831776
4,3,CON,3,5,3695,3714,phasic,1,1.9839999999999236,1.9839999999999236,10.442105263157494
4,3,CON,3,5,3695,3714,tonic,2,8.508000000000038,17.016000000000076,89.5578947368425
4,3,CON,3,5,3796,3857,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,3796,3857,tonic,1,61.0,61.0,100.0
4,3,CON,3,5,3881,3919,phasic,2,1.6970000000001164,3.394000000000233,8.931578947369035
4,3,CON,3,5,3881,3919,tonic,3,11.535333333333256,34.60599999999977,91.06842105263097
4,3,CON,3,5,3970,4074,phasic,6,1.4843333333334765,8.906000000000859,8.563461538462363
4,3,CON,3,5,3970,4074,tonic,7,13.58485714285702,95.09399999999914,91.43653846153764
4,3,CON,3,5,4409,4439,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,4409,4439,tonic,1,30.0,30.0,100.0
4,3,CON,3,5,5261,5272,phasic,0,0.0,0.0,0.0
4,3,CON,3,5,5261,5272,tonic,1,11.0,11.0,100.0
4,3,CON,3,5,5442,5464,phasic,1,2.380000000000109,2.380000000000109,10.818181818182314
4,3,CON,3,5,5442,5464,tonic,2,9.809999999999945,19.61999999999989,89.18181818181769
